gamename,step number,number of non-generic rules
missilecommand,10,2
missilecommand,44,5
missilecommand,86,9
missilecommand,43,4
missilecommand,62,6
missilecommand,12,3
missilecommand,134,11
missilecommand,7,1
zelda,233,7
zelda,4,3
zelda,1,2
zelda,52,4
zelda,120,6
zelda,265,8
examples.gridphysics_new.expt_push_boulders,517,8
examples.gridphysics_new.expt_push_boulders,40,3
examples.gridphysics_new.expt_push_boulders,114,6
examples.gridphysics_new.expt_push_boulders,17,2
examples.gridphysics_new.expt_push_boulders,12,1
examples.gridphysics_new.expt_push_boulders,289,7
examples.gridphysics_new.expt_push_boulders,46,5
examples.gridphysics_new.expt_antagonist,4,1
examples.gridphysics_new.expt_antagonist,225,6
examples.gridphysics_new.expt_antagonist,311,7
examples.gridphysics_new.expt_antagonist,153,4
examples.gridphysics_new.expt_antagonist,89,3
examples.gridphysics_new.expt_antagonist,16,2
examples.gridphysics_new.expt_antagonist,222,5
examples.gridphysics_new.expt_relational,195,3
examples.gridphysics_new.expt_relational,1,1
examples.gridphysics_new.expt_relational,243,4
examples.gridphysics_new.expt_relational,76,2
examples.gridphysics_new.expt_relational,734,5
sokoban,3,1
sokoban,20,2
sokoban,51,3
sokoban,225,5
sokoban,58,4
portals,25,10
portals,63,12
portals,4,5
portals,1,2
portals,14,8
portals,22,9
portals,6,6
portals,56,11
portals,309,13
portals,2,4
portals,8,7
boulderdash,1,6
boulderdash,7,12
boulderdash,6,11
boulderdash,2,9
frogs,3,5
frogs,1,4
frogs,78,7
frogs,17,6
examples.gridphysics_new.expt_exploration_exploitation,298,2
examples.gridphysics_new.expt_exploration_exploitation,1,1
butterflies,109,7
butterflies,64,5
butterflies,1,2
butterflies,24,3
butterflies,94,6
chase,1,2
chase,6,3
examples.gridphysics_new.expt_helper,133,5
examples.gridphysics_new.expt_helper,25,3
examples.gridphysics_new.expt_helper,527,7
examples.gridphysics_new.expt_helper,34,4
examples.gridphysics_new.expt_helper,11,1
examples.gridphysics_new.expt_helper,13,2
examples.gridphysics_new.expt_helper,16,2
examples.gridphysics_new.expt_helper,228,6
examples.gridphysics_new.expt_helper,38,4
examples.gridphysics_new.expt_preconditions,425,6
examples.gridphysics_new.expt_preconditions,17,1
examples.gridphysics_new.expt_preconditions,120,3
examples.gridphysics_new.expt_preconditions,127,5
