subject,condition,gameName,levels_won,steps,score
full,normal,examples.gridphysics_new.expt_relational,0,22,0
full,normal,examples.gridphysics_new.expt_relational,1,39,0
full,normal,examples.gridphysics_new.expt_relational,2,91,0
full,normal,examples.gridphysics_new.expt_relational,3,185,0
full,normal,examples.gridphysics_new.expt_relational,4,251,0
full,normal,examples.gridphysics_new.expt_relational,0,79,0
full,normal,examples.gridphysics_new.expt_relational,1,118,0
full,normal,examples.gridphysics_new.expt_relational,2,170,0
full,normal,examples.gridphysics_new.expt_relational,3,266,0
full,normal,examples.gridphysics_new.expt_relational,4,332,0
