subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,1,22.0,1.0,5.5766410827636719
human,no_score,expt_preconditions,1,4.0,-1.0,2.5488660335540771
human,no_score,expt_preconditions,2,22.0,1.0,6.3503689765930176
human,no_score,expt_preconditions,3,47.0,1.0,10.255752801895142
human,no_score,expt_preconditions,4,72.0,1.0,12.828728199005127
human,no_score,expt_preconditions,1,20.0,1.0,5.3095870018005371
human,no_score,expt_preconditions,1,2.0,-1.0,3.4218790531158447
human,no_score,expt_preconditions,1,4.0,-1.0,1.3956911563873291
human,no_score,expt_preconditions,2,27.0,1.0,7.3579850196838379
human,no_score,expt_preconditions,1,14.0,1.0,3.0144782066345215
human,no_score,expt_preconditions,1,11.0,-1.0,17.091931104660034
human,no_score,expt_preconditions,1,19.0,-1.0,88.452814102172852
human,no_score,expt_preconditions,1,2.0,-1.0,4.8402650356292725
