subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_antagonist,0,0.0,-1.0,0.5174911022186279
human,no_score,expt_antagonist,0,0.0,-1.0,0.5132849216461182
human,no_score,expt_antagonist,0,2.0,-1.0,0.5161018371582031
human,no_score,expt_antagonist,0,3.0,-1.0,0.5524630546569824
human,no_score,expt_antagonist,0,4.0,-1.0,0.5073039531707764
human,no_score,expt_antagonist,0,0.0,-1.0,0.5106461048126221
human,no_score,expt_helper,1,0.0,1.0,1.735215187072754
human,no_score,expt_relational,1,65.0,1.0,16.32499408721924
human,no_score,expt_preconditions,1,23.0,1.0,4.988958120346069
human,no_score,expt_preconditions,2,22.0,1.0,3.866093873977661
human,no_score,expt_preconditions,2,7.0,-1.0,6.118146896362305
human,no_score,expt_preconditions,2,15.0,-1.0,3.2394161224365234
human,no_score,expt_helper,1,0.0,1.0,1.722548007965088
human,no_score,expt_helper,2,0.0,1.0,1.7202789783477783
human,no_score,expt_helper,3,0.0,1.0,1.792038917541504
human,no_score,expt_helper,4,0.0,1.0,1.7906110286712646
human,no_score,expt_helper,5,53.0,1.0,13.77131199836731
human,no_score,expt_push_boulders,1,17.0,1.0,6.98124098777771
human,no_score,expt_push_boulders,2,17.0,1.0,4.039173126220703
human,no_score,expt_push_boulders,3,26.0,1.0,7.511475086212158
human,no_score,expt_push_boulders,4,27.0,1.0,5.673105001449585
human,no_score,expt_push_boulders,5,62.0,1.0,48.114943981170654
human,no_score,expt_push_boulders,6,59.0,1.0,11.748459815979004
human,no_score,expt_push_boulders,7,62.0,1.0,28.527493953704834
human,no_score,expt_push_boulders,8,66.0,1.0,14.859405040740967
human,no_score,expt_preconditions,1,26.0,1.0,4.042421817779541
human,no_score,expt_preconditions,2,14.0,1.0,1.7617578506469727
human,no_score,expt_preconditions,2,15.0,-1.0,4.108282804489136
human,no_score,expt_preconditions,2,13.0,-1.0,3.578583002090454
human,no_score,expt_preconditions,1,16.0,1.0,2.023524045944214
human,no_score,expt_preconditions,2,16.0,1.0,1.6924901008605957
human,no_score,expt_preconditions,2,9.0,-1.0,3.111873149871826
human,no_score,expt_relational,1,50.0,1.0,10.249742984771729
human,no_score,expt_preconditions,1,18.0,1.0,2.0866920948028564
human,no_score,expt_preconditions,2,16.0,1.0,1.7871198654174805
human,no_score,expt_preconditions,2,9.0,-1.0,2.41658091545105
human,no_score,expt_preconditions,1,14.0,1.0,1.6877551078796387
human,no_score,expt_preconditions,2,16.0,1.0,1.787827968597412
human,no_score,expt_preconditions,2,12.0,-1.0,2.052354097366333
human,no_score,expt_preconditions,1,16.0,1.0,1.623898983001709
human,no_score,expt_preconditions,2,17.0,1.0,1.3912880420684814
human,no_score,expt_preconditions,1,14.0,1.0,1.793045997619629
human,no_score,expt_preconditions,2,16.0,1.0,1.9583499431610107
human,no_score,expt_preconditions,1,16.0,1.0,2.1620171070098877
human,no_score,expt_preconditions,2,16.0,1.0,1.688943862915039
human,no_score,expt_preconditions,1,16.0,1.0,2.062954902648926
human,no_score,expt_preconditions,2,14.0,1.0,1.4308559894561768
human,no_score,expt_preconditions,1,16.0,1.0,2.0561511516571045
human,no_score,expt_preconditions,2,16.0,1.0,1.822382926940918
human,no_score,expt_preconditions,1,16.0,1.0,3.41005802154541
human,no_score,expt_preconditions,2,18.0,1.0,2.228041887283325
human,no_score,expt_preconditions,2,9.0,-1.0,5.183536052703857
human,no_score,expt_preconditions,1,16.0,1.0,2.6832010746002197
human,no_score,expt_preconditions,1,19.0,1.0,4.173088073730469
human,no_score,expt_preconditions,3,17.0,1.0,2.94156813621521
human,no_score,expt_preconditions,5,42.0,1.0,14.512876987457275
human,no_score,expt_preconditions,7,75.0,1.0,11.590489149093628
human,no_score,expt_relational,1,44.0,1.0,8.959904193878174
human,no_score,expt_push_boulders,1,71.0,1.0,15.765682935714722
human,no_score,expt_preconditions,1,17.0,1.0,5.062285900115967
human,no_score,expt_preconditions,3,17.0,1.0,2.8274619579315186
human,no_score,expt_preconditions,5,42.0,1.0,8.33298397064209
