subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,33.0,2.0,9.8083841800689697
human,no_score,expt_preconditions,0,177.0,7.0,24.797161102294922
human,no_score,expt_preconditions,0,0.0,-2.0,5.500420093536377
human,no_score,expt_preconditions,1,3.0,-1.0,11.11466908454895
human,no_score,expt_preconditions,1,4.0,-2.0,7.7053458690643311
human,no_score,expt_preconditions,1,200.0,7.0,26.568265914916992
human,no_score,expt_preconditions,2,60.0,2.0,14.655616998672485
human,no_score,expt_preconditions,2,0.0,-1.0,10.723080158233643
human,no_score,expt_preconditions,2,0.0,-1.0,10.411416053771973
human,no_score,expt_preconditions,0,0.0,-2.0,8.2963109016418457
human,no_score,expt_preconditions,0,32.0,-1.0,7.2637341022491455
human,no_score,expt_preconditions,0,0.0,-2.0,5.1887810230255127
human,no_score,expt_preconditions,0,0.0,-2.0,6.5050890445709229
human,no_score,expt_preconditions,0,0.0,-2.0,6.0523989200592041
human,no_score,expt_preconditions,0,0.0,-2.0,6.9984471797943115
human,no_score,expt_preconditions,1,0.0,-2.0,6.5929179191589355
human,no_score,expt_preconditions,1,0.0,-2.0,5.4976439476013184
human,no_score,expt_preconditions,1,0.0,-2.0,6.470660924911499
human,no_score,expt_preconditions,2,0.0,-1.0,9.508936882019043
human,no_score,expt_preconditions,2,0.0,-1.0,8.1142969131469727
human,no_score,expt_preconditions,2,0.0,-1.0,8.6542379856109619
human,no_score,expt_preconditions,0,150.0,8.0,31.395518064498901
human,no_score,expt_preconditions,0,9.0,-2.0,5.6887621879577637
human,no_score,expt_preconditions,0,11.0,-2.0,4.0706009864807129
human,no_score,expt_preconditions,0,8.0,-2.0,6.9040870666503906
human,no_score,expt_preconditions,0,11.0,-2.0,15.595741987228394
human,no_score,expt_preconditions,0,47.0,0.0,15.236970901489258
