subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,50.0,-2.0,23.929796934127808
human,no_score,expt_preconditions,0,49.0,-2.0,23.734841108322144
human,no_score,expt_preconditions,0,46.0,-2.0,23.812090158462524
human,no_score,expt_preconditions,1,0.0,-2.0,24.685979127883911
human,no_score,expt_preconditions,0,73.0,-2.0,24.042948007583618
human,no_score,expt_preconditions,0,45.0,0.0,10.545850038528442
human,no_score,expt_preconditions,0,45.0,0.0,13.953832149505615
human,no_score,expt_preconditions,0,64.0,-2.0,23.970664024353027
human,no_score,expt_preconditions,0,0.0,-2.0,24.59027099609375
human,no_score,expt_preconditions,0,45.0,0.0,7.6600708961486816
human,no_score,expt_preconditions,0,0.0,-2.0,24.543436050415039
human,no_score,expt_preconditions,0,27.0,-2.0,24.808794975280762
human,no_score,expt_preconditions,1,45.0,0.0,12.603960037231445
human,no_score,expt_preconditions,1,45.0,0.0,16.860184192657471
human,no_score,expt_preconditions,1,0.0,-2.0,23.694374084472656
human,no_score,expt_preconditions,2,0.0,-2.0,24.417323112487793
human,no_score,expt_preconditions,2,0.0,-2.0,24.227726936340332
human,no_score,expt_preconditions,2,0.0,-2.0,24.102332830429077
human,no_score,expt_preconditions,0,45.0,0.0,8.9708869457244873
human,no_score,expt_preconditions,0,0.0,-2.0,23.829847097396851
human,no_score,expt_preconditions,0,0.0,-2.0,24.042953014373779
