subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,39.0,-10.0,48.521140098571777
human,no_score,expt_preconditions,0,72.0,-5.0,32.2538001537323
human,no_score,expt_preconditions,0,104.0,2.0,45.896796941757202
human,no_score,expt_preconditions,0,100.0,4.0,36.860723972320557
human,no_score,expt_preconditions,0,25.0,-1.0,24.004467964172363
human,no_score,expt_preconditions,0,195.0,-5.0,91.347172975540161
human,no_score,expt_preconditions,0,149.0,8.0,61.585815191268921
human,no_score,expt_preconditions,1,116.0,19.0,55.87026309967041
human,no_score,expt_preconditions,1,103.0,20.0,58.036764144897461
human,no_score,expt_preconditions,0,10.0,-1.0,7.4332540035247803
human,no_score,expt_preconditions,0,0.0,-10.0,38.322105884552002
human,no_score,expt_preconditions,0,0.0,-1.0,6.8138430118560791
