subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,1,56.0,18.0,12.114763021469116
human,no_score,expt_preconditions,1,52.0,262.0,10.236901044845581
human,no_score,expt_preconditions,1,52.0,18.0,9.4767119884490967
human,no_score,expt_preconditions,1,50.0,18.0,8.959665060043335
human,no_score,expt_preconditions,0,52.0,16.0,9.587644100189209
human,no_score,expt_preconditions,1,50.0,18.0,10.093317985534668
human,no_score,expt_preconditions,1,52.0,18.0,9.4911110401153564
human,no_score,expt_preconditions,1,48.0,18.0,11.040366888046265
human,no_score,expt_preconditions,1,48.0,22.0,8.7537620067596436
human,no_score,expt_preconditions,1,50.0,24.0,9.0656020641326904
human,no_score,expt_preconditions,0,16.0,-2.0,3.8458931446075439
human,no_score,expt_preconditions,1,50.0,24.0,9.0599620342254639
human,no_score,expt_preconditions,1,52.0,16.0,12.80137300491333
human,no_score,expt_preconditions,1,49.0,16.0,7.8367760181427002
human,no_score,expt_preconditions,1,52.0,16.0,8.500154972076416
human,no_score,expt_preconditions,1,50.0,16.0,8.6682372093200684
human,no_score,expt_preconditions,1,48.0,16.0,63.92685604095459
human,no_score,expt_preconditions,1,46.0,16.0,7.4389421939849854
human,no_score,expt_preconditions,1,48.0,17.0,7.3912670612335205
human,no_score,expt_preconditions,1,48.0,17.0,10.426438808441162
human,no_score,expt_preconditions,1,44.0,18.0,7.6892459392547607
human,no_score,expt_preconditions,1,46.0,26.0,7.940173864364624
human,no_score,expt_preconditions,0,48.0,24.0,8.0670769214630127
human,no_score,expt_preconditions,1,44.0,26.0,7.6309499740600586
human,no_score,expt_preconditions,1,48.0,26.0,8.556279182434082
human,no_score,expt_preconditions,0,48.0,6.0,8.8186979293823242
human,no_score,expt_preconditions,1,46.0,26.0,7.5458159446716309
human,no_score,expt_preconditions,0,46.0,24.0,8.4062390327453613
human,no_score,expt_preconditions,1,46.0,26.0,7.8018131256103516
human,no_score,expt_preconditions,1,46.0,24.0,7.613436222076416
human,no_score,expt_preconditions,1,52.0,25.0,9.3763871192932129
human,no_score,expt_preconditions,1,46.0,25.0,13.560960054397583
human,no_score,expt_preconditions,1,46.0,24.0,8.6060819625854492
