subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,9.0,-1.0,3.4534928798675537
human,no_score,expt_preconditions,0,21.0,2.0,4.9621219635009766
human,no_score,expt_preconditions,0,22.0,0.0,4.3619849681854248
human,no_score,expt_preconditions,1,45.0,2.0,7.1303350925445557
human,no_score,expt_preconditions,1,45.0,13.0,12.956432104110718
human,no_score,expt_preconditions,1,62.0,4.0,13.303797960281372
human,no_score,expt_preconditions,2,34.0,2.0,7.459942102432251
human,no_score,expt_preconditions,2,184.0,11.0,46.84295392036438
human,no_score,expt_preconditions,2,10.0,-1.0,4.6709821224212646
human,no_score,expt_preconditions,0,0.0,-1.0,3.9624099731445312
human,no_score,expt_preconditions,0,0.0,-1.0,5.2778191566467285
human,no_score,expt_preconditions,0,0.0,-1.0,7.5868680477142334
human,no_score,expt_preconditions,1,0.0,-1.0,6.5947189331054688
human,no_score,expt_preconditions,1,0.0,-1.0,5.3268671035766602
human,no_score,expt_preconditions,1,0.0,-1.0,5.2291610240936279
human,no_score,expt_preconditions,2,0.0,-1.0,4.3232779502868652
human,no_score,expt_preconditions,2,0.0,-1.0,4.6022918224334717
human,no_score,expt_preconditions,2,0.0,-1.0,9.6500720977783203
human,no_score,expt_preconditions,0,92.0,1.0,22.884615898132324
human,no_score,expt_preconditions,0,73.0,3.0,18.464455127716064
human,no_score,expt_preconditions,0,0.0,-1.0,3.8046622276306152
human,no_score,expt_preconditions,0,64.0,-1.0,18.059641122817993
human,no_score,expt_preconditions,0,0.0,-1.0,5.2313599586486816
human,no_score,expt_preconditions,1,93.0,1.0,51.709460973739624
human,no_score,expt_preconditions,2,0.0,1.0,52.261853933334351
human,no_score,expt_preconditions,3,0.0,1.0,51.752256870269775
human,no_score,expt_preconditions,4,0.0,1.0,52.200356006622314
human,no_score,expt_preconditions,5,0.0,1.0,51.817175149917603
human,no_score,expt_preconditions,0,24.0,2.0,6.2890329360961914
human,no_score,expt_preconditions,0,0.0,-1.0,3.6004531383514404
