subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,43.0,1.0,24.518219947814941
human,no_score,expt_preconditions,0,9.0,0.0,32.578299045562744
human,no_score,expt_preconditions,0,0.0,-1.0,25.889612913131714
human,no_score,expt_preconditions,0,0.0,-1.0,19.183110952377319
human,no_score,expt_preconditions,1,0.0,-1.0,15.32441782951355
human,no_score,expt_preconditions,1,0.0,-1.0,15.23104190826416
human,no_score,expt_preconditions,1,0.0,-1.0,13.009643077850342
human,no_score,expt_preconditions,2,0.0,-1.0,17.923053979873657
human,no_score,expt_preconditions,2,0.0,-1.0,23.457653045654297
human,no_score,expt_preconditions,2,0.0,-1.0,8.883228063583374
human,no_score,expt_preconditions,3,0.0,-1.0,8.9576220512390137
human,no_score,expt_preconditions,3,0.0,-1.0,8.8267679214477539
human,no_score,expt_preconditions,3,0.0,-1.0,19.060199975967407
human,no_score,expt_preconditions,4,0.0,-1.0,10.160423040390015
