subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,1,62.0,1.0,16.880000114440918
human,no_score,expt_preconditions,1,85.0,1.0,24.0770001411438
human,no_score,expt_preconditions,2,261.0,1.0,85.31700015068054
human,no_score,expt_preconditions,0,21.0,-1.0,5.077000141143799
human,no_score,expt_preconditions,1,25.0,1.0,7.366999864578247
human,no_score,expt_preconditions,1,233.0,-1.0,51.240999937057495
human,no_score,expt_preconditions,1,24.0,1.0,7.4562108516693115
human,no_score,expt_preconditions,1,92.0,-1.0,51.113470792770386
human,no_score,expt_preconditions,1,28.0,1.0,8.9931700229644775
human,no_score,expt_preconditions,1,130.0,-1.0,51.05400013923645
