subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,1,74.0,6.0,23.723999977111816
human,no_score,expt_preconditions,1,18.0,6.0,8.63100004196167
human,no_score,expt_preconditions,1,23.0,6.0,11.763000011444092
human,no_score,expt_preconditions,1,53.0,6.0,17.109999895095825
human,no_score,expt_preconditions,1,28.0,6.0,16.44600009918213
human,no_score,expt_preconditions,1,29.0,6.0,9.246000051498413
human,no_score,expt_preconditions,2,88.0,12.0,28.435999870300293
human,no_score,expt_preconditions,1,30.0,6.0,10.477999925613403
human,no_score,expt_preconditions,2,78.0,12.0,21.467999935150146
human,no_score,expt_preconditions,1,24.0,6.0,7.194000005722046
human,no_score,expt_preconditions,1,18.0,6.0,5.28600001335144
human,no_score,expt_preconditions,2,70.0,12.0,17.551000118255615
human,no_score,expt_preconditions,1,102.0,12.0,58.40400004386902
human,no_score,expt_preconditions,2,105.0,12.0,32.674999952316284
human,no_score,expt_preconditions,1,92.0,13.0,26.667999982833862
human,no_score,expt_preconditions,2,81.0,12.0,24.483999967575073
human,no_score,expt_preconditions,1,106.0,13.0,36.75699996948242
human,no_score,expt_preconditions,2,67.0,12.0,18.59599995613098
human,no_score,expt_preconditions,3,14.0,6.0,5.406000137329102
human,no_score,expt_preconditions,1,89.0,12.0,28.223999977111816
human,no_score,expt_preconditions,2,120.0,12.0,53.115999937057495
human,no_score,expt_preconditions,3,17.0,6.0,9.0239999294281
human,no_score,expt_preconditions,4,95.0,10.0,39.996999979019165
human,no_score,expt_preconditions,5,74.0,11.0,21.5939998626709
