subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,30.0,-1.0,7.479000091552734
human,no_score,expt_preconditions,0,16.0,-1.0,3.509999990463257
human,no_score,expt_preconditions,0,12.0,-1.0,5.296999931335449
human,no_score,expt_preconditions,1,8.0,-1.0,2.681999921798706
human,no_score,expt_preconditions,1,66.0,0.0,19.64900016784668
human,no_score,expt_preconditions,0,14.0,-1.0,11.169000148773193
human,no_score,expt_preconditions,0,12.0,-1.0,4.687999963760376
human,no_score,expt_preconditions,0,16.0,-1.0,3.6419999599456787
human,no_score,expt_preconditions,1,87.0,1.0,24.141000032424927
human,no_score,expt_preconditions,1,68.0,1.0,15.192000150680542
human,no_score,expt_preconditions,0,13.0,-1.0,2.7170000076293945
human,no_score,expt_preconditions,0,14.0,-1.0,3.2279999256134033
human,no_score,expt_preconditions,0,14.0,-1.0,2.6549999713897705
human,no_score,expt_preconditions,1,60.0,1.0,12.879000186920166
human,no_score,expt_preconditions,1,58.0,1.0,11.305999994277954
human,no_score,expt_preconditions,1,56.0,1.0,10.317000150680542
human,no_score,expt_preconditions,0,8.0,-1.0,2.0
human,no_score,expt_preconditions,0,34.0,0.0,11.551999807357788
human,no_score,expt_preconditions,0,48.0,0.0,13.043999910354614
human,no_score,expt_preconditions,0,53.0,0.0,12.47000002861023
human,no_score,expt_preconditions,0,49.0,0.0,11.208000183105469
human,no_score,expt_preconditions,1,125.0,2.0,27.960999965667725
human,no_score,expt_preconditions,1,12.0,-1.0,4.4679999351501465
human,no_score,expt_preconditions,0,14.0,-1.0,3.6217250823974609
