subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,17.0,-1.0,9.208999872207642
human,no_score,expt_preconditions,0,12.0,-1.0,5.671000003814697
human,no_score,expt_preconditions,0,9.0,-1.0,6.843999862670898
human,no_score,expt_preconditions,2,48.0,1.0,23.384999990463257
human,no_score,expt_preconditions,2,29.0,-1.0,13.61900019645691
human,no_score,expt_preconditions,2,37.0,-1.0,20.01199984550476
human,no_score,expt_preconditions,3,79.0,1.0,36.037999868392944
human,no_score,expt_preconditions,3,34.0,-1.0,16.111000061035156
human,no_score,expt_preconditions,3,21.0,-1.0,16.717999935150146
human,no_score,expt_preconditions,3,51.0,-1.0,29.11899995803833
human,no_score,expt_preconditions,4,25.0,-1.0,10.496999979019165
human,no_score,expt_preconditions,4,15.0,-1.0,10.577999830245972
human,no_score,expt_preconditions,4,19.0,-1.0,18.997999906539917
