subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,1,41.0,8.0,7.795000076293945
human,no_score,expt_preconditions,1,9.0,23.0,3.0310001373291016
human,no_score,expt_preconditions,2,55.0,23.0,6.950999975204468
human,no_score,expt_preconditions,3,56.0,7.0,7.41700005531311
human,no_score,expt_preconditions,4,70.0,7.0,9.809999942779541
human,no_score,expt_preconditions,4,8.0,4.0,1.24399995803833
human,no_score,expt_preconditions,4,7.0,2.0,3.264000177383423
human,no_score,expt_preconditions,4,6.0,-3.0,1.74399995803833
human,no_score,expt_preconditions,1,36.0,14.0,6.480999946594238
human,no_score,expt_preconditions,1,9.0,-3.0,2.253999948501587
human,no_score,expt_preconditions,1,4.0,6.0,2.447999954223633
human,no_score,expt_preconditions,1,0.0,-2.0,4.74399995803833
human,no_score,expt_preconditions,2,0.0,0.0,5.736000061035156
human,no_score,expt_preconditions,2,10.0,4.0,6.2779998779296875
human,no_score,expt_preconditions,2,8.0,-4.0,5.496999979019165
human,no_score,expt_preconditions,4,31.0,26.0,13.283999919891357
human,no_score,expt_preconditions,4,16.0,17.0,6.343000173568726
human,no_score,expt_preconditions,4,3.0,2.0,1.8650000095367432
human,no_score,expt_preconditions,5,27.0,31.0,8.57800006866455
human,no_score,expt_preconditions,1,30.0,8.0,7.385999917984009
human,no_score,expt_preconditions,1,0.0,-2.0,4.799000024795532
human,no_score,expt_preconditions,1,0.0,-2.0,4.793999910354614
human,no_score,expt_preconditions,1,0.0,-2.0,4.777000188827515
human,no_score,expt_preconditions,2,0.0,-4.0,5.421999931335449
human,no_score,expt_preconditions,1,31.0,2.0,7.233000040054321
human,no_score,expt_preconditions,0,2.0,-3.0,3.008000135421753
human,no_score,expt_preconditions,0,4.0,-3.0,1.4519999027252197
human,no_score,expt_preconditions,0,4.0,-3.0,1.2049999237060547
human,no_score,expt_preconditions,1,9.0,-2.0,4.822999954223633
human,no_score,expt_preconditions,0,4.0,-3.0,1.2810001373291016
human,no_score,expt_preconditions,0,6.0,4.0,8.388000011444092
human,no_score,expt_preconditions,0,3.0,-2.0,1.6959998607635498
human,no_score,expt_preconditions,1,30.0,17.0,6.1000001430511475
human,no_score,expt_preconditions,1,7.0,0.0,2.302999973297119
human,no_score,expt_preconditions,1,29.0,30.0,7.5849997997283936
human,no_score,expt_preconditions,1,5.0,9.0,2.330000162124634
human,no_score,expt_preconditions,2,29.0,4.0,6.646999835968018
human,no_score,expt_preconditions,2,10.0,0.0,5.986999988555908
human,no_score,expt_preconditions,1,28.0,14.0,6.335000038146973
human,no_score,expt_preconditions,1,3.0,6.0,2.2819998264312744
human,no_score,expt_preconditions,1,17.0,6.0,5.833999872207642
human,no_score,expt_preconditions,1,6.0,6.0,1.8440001010894775
human,no_score,expt_preconditions,3,48.0,18.0,13.200000047683716
human,no_score,expt_preconditions,3,15.0,0.0,4.607000112533569
human,no_score,expt_preconditions,3,33.0,17.0,12.86299991607666
human,no_score,expt_preconditions,4,89.0,26.0,13.200000047683716
human,no_score,expt_preconditions,4,13.0,2.0,3.2189998626708984
human,no_score,expt_preconditions,5,30.0,31.0,6.7210001945495605
human,no_score,expt_preconditions,0,3.0,-2.0,2.199000120162964
human,no_score,expt_preconditions,1,31.0,14.0,6.884000062942505
human,no_score,expt_preconditions,1,14.0,0.0,2.1499998569488525
human,no_score,expt_preconditions,1,11.0,0.0,2.9130001068115234
human,no_score,expt_preconditions,1,6.0,-2.0,1.7409999370574951
human,no_score,expt_preconditions,2,23.0,6.0,9.478999853134155
human,no_score,expt_preconditions,2,35.0,10.0,9.26199984550476
human,no_score,expt_preconditions,2,35.0,-1.0,5.202000141143799
human,no_score,expt_preconditions,3,42.0,9.0,5.243000030517578
human,no_score,expt_preconditions,3,38.0,11.0,8.144000053405762
human,no_score,expt_preconditions,3,31.0,17.0,8.556999921798706
human,no_score,expt_preconditions,0,27.0,-2.0,6.7172520160675049
human,no_score,expt_preconditions,0,45.0,-1.0,6.1629719734191895
human,no_score,expt_preconditions,0,63.0,-2.0,9.3164811134338379
human,no_score,expt_preconditions,0,1.0,2.0,17.854978084564209
human,no_score,expt_preconditions,0,0.0,2.0,18.366436004638672
human,no_score,expt_preconditions,0,19.0,-2.0,8.0394129753112793
human,no_score,expt_preconditions,1,61.0,17.0,15.55988597869873
human,no_score,expt_preconditions,1,26.0,4.0,9.6844520568847656
human,no_score,expt_preconditions,0,31.0,2.0,13.078129053115845
human,no_score,expt_preconditions,0,14.0,2.0,18.220459938049316
human,no_score,expt_preconditions,0,0.0,2.0,18.41504979133606
human,no_score,expt_preconditions,0,6.0,-2.0,10.384553194046021
human,no_score,expt_preconditions,0,0.0,-2.0,10.333271026611328
