subject,condition,gameName,levels_won,steps,planner_steps,score
full,normal,expt_antagonist,0,15,3,0
full,normal,expt_antagonist,0,17,1,0
full,normal,expt_antagonist,0,17,5,0
full,normal,expt_antagonist,0,15,3,0
full,normal,expt_antagonist,0,18,1,0
full,normal,expt_antagonist,0,13,1,0
full,normal,expt_antagonist,0,15,2,0
full,normal,expt_antagonist,0,17,5,0
full,normal,expt_antagonist,0,19,1,0
full,normal,expt_antagonist,0,15,2,0
full,normal,expt_antagonist,0,15,3,0
full,normal,expt_antagonist,0,30,1,0
full,normal,expt_antagonist,0,15,2,0
full,normal,expt_antagonist,0,21,1,0
full,normal,expt_antagonist,0,15,3,0
full,normal,expt_antagonist,1,28,1,0
full,normal,expt_antagonist,0,33,2,0
full,normal,expt_antagonist,0,34,1,0
